Date,IndexFutNet,IndexOptNet
21-12-2020,-196.51,-391.55
18-12-2020,-374.54,-361.3
17-12-2020,553.36,-57.51
16-12-2020,-95.26,-177.21
15-12-2020,-811.83,-249.94
14-12-2020,290.92,-363.26
11-12-2020,-1310.72,-1179.21
10-12-2020,597.66,-591.33
09-12-2020,-324.1,18.88
08-12-2020,-1129.79,-301.02
07-12-2020,897.07,-288.21
04-12-2020,175.57,534.38
03-12-2020,-1081.91,461.74
02-12-2020,-482.19,192.23
01-12-2020,1770.48,-3735.09
27-11-2020,-117.46,2537.48
26-11-2020,-1802.83,1247.56
25-11-2020,-29.1,-907.5
24-11-2020,73.25,-692.08
23-11-2020,648.99,-541.14
20-11-2020,-737.65,-1526.01
19-11-2020,446.94,-295.24
18-11-2020,1014.8,203.79
17-11-2020,151.53,181.11
13-11-2020,-1652.24,-155.06
12-11-2020,238.54,-392.15
11-11-2020,2016.85,-1000.12
10-11-2020,904.61,-754.61
09-11-2020,521.36,-23.1
06-11-2020,3440.99,588.14
05-11-2020,-289.69,763.91
04-11-2020,479.86,745.27
03-11-2020,1226.59,734.08
02-11-2020,-965.92,758.55
29-10-2020,-1905.32,1349.89
28-10-2020,-1115.77,2442.38
27-10-2020,-600.02,712.56
26-10-2020,-601.39,315.14
23-10-2020,-318.56,-29.97
22-10-2020,150.68,136.63
21-10-2020,-284.56,-400.51
20-10-2020,140.82,-644.92
19-10-2020,-42.25,139.17
16-10-2020,-107.27,221.78
15-10-2020,-713.59,-629.86
14-10-2020,-59.08,-931.41
13-10-2020,-700.68,-947.98
12-10-2020,739,-1039.82
09-10-2020,1398.84,-237.31
08-10-2020,781.42,-266.82
07-10-2020,-513.95,-125.38
06-10-2020,-44.98,-834.64
05-10-2020,1476.47,-14.71
01-10-2020,724.78,236.23
30-09-2020,-643.76,132.98
29-09-2020,709.02,777.35
28-09-2020,1284.52,1538.02
25-09-2020,-1799.28,493.67
24-09-2020,-587.41,1322.04
23-09-2020,-695.92,840.03
22-09-2020,431.66,-330.37
21-09-2020,1900.03,-1449.19
18-09-2020,-672.93,-1158.6
17-09-2020,-413.55,-928.54
16-09-2020,84.1,-301.28
15-09-2020,-828.95,99.97
14-09-2020,-467.41,-237.85
11-09-2020,609.21,446.54
10-09-2020,-725.67,191.37
09-09-2020,211.17,438
08-09-2020,652.99,-49.79
07-09-2020,-696.11,-603.26
04-09-2020,-771.89,-1175.8
03-09-2020,-820.12,-607.94
02-09-2020,1036.08,-183.86
01-09-2020,-4067.78,-1344.11
