Date,Price,Open,High,Low,Volume,Chg%,VIX
"Dec 18, 2020","30,714.65","30,841.85","30,854.05","30,374.50",278.15K,-0.43%,18.62
"Dec 17, 2020","30,847.05","30,791.20","30,945.20","30,643.90",260.66K,0.48%,19.16
"Dec 16, 2020","30,698.40","30,920.35","30,932.25","30,587.10",380.59K,0.02%,19.20
"Dec 15, 2020","30,691.05","30,805.40","30,805.85","30,345.75",279.37K,-0.18%,19.35
"Dec 14, 2020","30,745.90","30,735.15","30,845.80","30,624.25",269.04K,0.46%,19.40
"Dec 11, 2020","30,604.85","30,555.30","30,811.80","30,328.45",409.94K,0.31%,18.79
"Dec 10, 2020","30,510.35","30,545.35","30,610.00","30,202.10",335.77K,-0.65%,18.71
"Dec 09, 2020","30,709.40","30,335.05","30,807.25","30,326.70",542.52K,1.48%,18.92
"Dec 08, 2020","30,261.90","30,300.30","30,363.80","30,025.20",586.85K,0.17%,18.62
"Dec 07, 2020","30,211.55","30,062.60","30,354.20","29,950.60",431.77K,0.53%,18.03
"Dec 04, 2020","30,052.40","29,573.40","30,162.30","29,473.50",466.91K,2.05%,18.03
"Dec 03, 2020","29,448.75","29,728.90","29,813.00","29,379.40",419.24K,-0.05%,19.00
"Dec 02, 2020","29,463.15","29,876.70","29,886.25","29,149.90",374.28K,-1.19%,19.91
"Dec 01, 2020","29,817.85","29,844.80","29,919.75","29,511.00",325.61K,0.71%,20.18
"Nov 27, 2020","29,609.05","29,622.00","29,716.85","29,368.70",494.40K,0.20%,19.82
"Nov 26, 2020","29,549.75","29,370.40","29,623.00","28,923.10",369.37K,1.21%,20.02
"Nov 25, 2020","29,196.40","30,021.90","30,197.85","29,132.30",546.08K,-1.82%,23.13
"Nov 24, 2020","29,737.25","29,265.60","29,827.80","29,206.75",348.06K,2.46%,21.06
"Nov 23, 2020","29,024.20","29,432.80","29,492.30","28,852.90",395.63K,-0.72%,20.80
"Nov 20, 2020","29,236.00","28,935.75","29,406.70","28,580.90",320.01K,1.15%,19.62
"Nov 19, 2020","28,903.05","29,302.60","29,627.20","28,819.55",358.60K,-2.85%,19.57
"Nov 18, 2020","29,749.85","29,107.90","29,784.75","29,056.75",487.62K,1.95%,19.12
"Nov 17, 2020","29,181.30","28,792.25","29,239.25","28,722.90",317.31K,2.51%,19.80
"Nov 13, 2020","28,465.70","28,108.70","28,520.55","27,703.30",330.89K,0.66%,19.70
"Nov 12, 2020","28,278.80","28,633.75","28,672.90","28,066.05",308.96K,-1.96%,20.62
"Nov 11, 2020","28,845.00","28,713.15","29,030.90","28,211.10",497.51K,0.84%,22.03
"Nov 10, 2020","28,606.00","28,039.45","28,802.50","27,916.90",595.80K,3.89%,21.58
"Nov 09, 2020","27,534.10","27,088.95","27,595.00","27,068.95",365.12K,2.74%,20.11
"Nov 06, 2020","26,798.95","26,274.10","26,853.45","26,135.30",357.69K,1.85%,20.50
"Nov 05, 2020","26,313.10","26,174.80","26,375.20","26,000.05",385.31K,2.10%,20.97
"Nov 04, 2020","25,771.60","25,539.55","25,891.00","25,142.00",409.25K,0.35%,23.20
"Nov 03, 2020","25,682.80","25,108.00","25,760.70","25,085.70",407.59K,3.17%,24.24
"Nov 02, 2020","24,892.50","24,367.60","25,139.00","24,120.60",437.22K,4.15%,25.21
"Oct 30, 2020","23,900.90","24,090.15","24,277.35","23,612.70",271.83K,-0.79%,24.75
"Oct 29, 2020","24,092.00","24,063.50","24,339.10","23,822.05",340.55K,-0.58%,24.02
"Oct 28, 2020","24,232.50","24,737.85","24,780.70","24,057.95",272.72K,-2.17%,23.28
"Oct 27, 2020","24,769.50","24,288.05","24,809.65","23,924.20",299.01K,2.88%,22.20
"Oct 26, 2020","24,075.45","24,525.80","24,577.30","23,867.75",260.45K,-1.65%,22.83
"Oct 23, 2020","24,478.30","24,669.20","24,764.15","24,360.85",196.85K,-0.02%,21.83
"Oct 22, 2020","24,484.15","24,453.25","24,685.90","24,252.40",241.29K,-0.61%,22.64
"Oct 21, 2020","24,635.05","24,444.20","24,823.60","24,099.85",335.66K,1.33%,22.92
"Oct 20, 2020","24,311.80","24,117.35","24,410.90","24,039.85",254.15K,0.19%,22.69
"Oct 19, 2020","24,266.75","23,902.90","24,320.95","23,754.85",388.15K,3.12%,21.82
"Oct 16, 2020","23,533.25","23,219.85","23,646.20","23,148.95",229.44K,2.00%,21.65
"Oct 15, 2020","23,072.40","23,920.35","24,087.85","22,970.95",270.33K,-3.36%,22.06
"Oct 14, 2020","23,874.65","23,353.15","23,962.70","23,149.45",225.36K,1.63%,20.21
"Oct 13, 2020","23,492.20","23,663.05","23,775.15","23,431.50",190.83K,-0.93%,20.72
"Oct 12, 2020","23,712.80","23,955.60","24,190.35","23,552.60",280.70K,-0.56%,21.13
"Oct 09, 2020","23,846.80","23,312.60","23,904.10","23,132.45",350.98K,2.83%,20.38
"Oct 08, 2020","23,191.35","23,150.25","23,450.90","23,063.60",280.14K,0.99%,20.38
"Oct 07, 2020","22,964.80","22,836.95","23,036.20","22,607.80",236.10K,0.49%,20.06
"Oct 06, 2020","22,853.70","22,673.05","22,893.50","22,521.05",247.98K,2.16%,19.64
"Oct 05, 2020","22,370.95","22,352.10","22,768.55","22,247.25",325.42K,0.56%,19.71
"Oct 01, 2020","22,246.00","21,685.25","22,293.75","21,664.15",348.73K,3.70%,18.35
"Sep 30, 2020","21,451.80","21,405.25","21,549.35","21,128.50",240.05K,0.19%,19.53
