"device_id","app_name","minutes"
1255,"Snapchat (Mobile App)",7.39
873,"Pinterest (Mobile App)",3.88
1919,"Facebook (Mobile App)",116.34
1531,"Yahoo Mail (Mobile App)",238.27
748,"Netflix (Mobile App)",4.59
1630,"Instagram (Mobile App)",4.25
837,"Yahoo Newsroom (Mobile App)",11.27
653,"Google Search (Mobile App)",23.84
1197,"YouTube (Mobile App)",
982,"YouTube (Mobile App)",16.35
589,"Tumblr (Mobile App)",443.07
843,"Facebook (Mobile App)",137.47
1848,"Instagram (Mobile App)",332.60
103,"Instagram (Mobile App)",70.17
993,"Facebook Messenger (Mobile App)",16.22
156,"Google Play (Mobile App)",2.63
743,"YouTube (Mobile App)",34.24
1916,"YouTube (Mobile App)",49.74
438,"Netflix (Mobile App)",29.65
2231,"Google Search (Mobile App)",70.29
1706,"Amazon Mobile (Mobile App)",71.67
659,"Instagram (Mobile App)",720.74
552,"Google Play (Mobile App)",10.89
2721,"YouTube (Mobile App)",0.35
945,"Facebook Messenger (Mobile App)",232.82
542,"Facebook Messenger (Mobile App)",1550.43
359,"Snapchat (Mobile App)",4.55
1125,"Facebook (Mobile App)",1209.96
1164,"GroupMe (Mobile App)",104.02
771,"Facebook Messenger (Mobile App)",513.61
133,"Amazon Music with Prime Music (Mobile App)",18.35
1336,"Google Play (Mobile App)",11.07
1867,"YouTube (Mobile App)",357.94
2713,"Facebook (Mobile App)",399.72
507,"Facebook (Mobile App)",22.05
1754,"YouTube (Mobile App)",1059.04
1179,"Google Search (Mobile App)",18.70
2712,"Instagram (Mobile App)",
667,"Amazon Music with Prime Music (Mobile App)",0.10
477,"Amazon Mobile (Mobile App)",4.76
2539,"Pinterest (Mobile App)",96.92
1173,"Facebook (Mobile App)",1393.12
469,"Outlook (Mobile App)",74.38
2278,"YouTube (Mobile App)",75.19
1714,"Pinterest (Mobile App)",6.44
1530,"Netflix (Mobile App)",514.57
47,"Google Search (Mobile App)",802.22
1215,"Google Play (Mobile App)",3.88
22,"Yahoo Mail (Mobile App)",66.63
267,"Google Search (Mobile App)",0.73
1183,"Google Search (Mobile App)",15.82
478,"Pinterest (Mobile App)",0.94
711,"Facebook Messenger (Mobile App)",3740.60
1155,"Snapchat (Mobile App)",48.07
1191,"Instagram (Mobile App)",18.68
1271,"Snapchat (Mobile App)",35.29
955,"GroupMe (Mobile App)",77.85
1134,"YouTube (Mobile App)",2.32
2580,"Instagram (Mobile App)",0.09
2104,"Netflix (Mobile App)",52.96
85,"Tumblr (Mobile App)",164.21
775,"Facebook (Mobile App)",510.57
266,"Facebook (Mobile App)",22.02
1464,"Facebook Messenger (Mobile App)",76.09
788,"Facebook (Mobile App)",1753.80
550,"Tumblr (Mobile App)",572.60
1573,"YouTube (Mobile App)",2469.90
1644,"Facebook (Mobile App)",1470.17
821,"Google Play (Mobile App)",12.17
2334,"Instagram (Mobile App)",71.92
863,"Facebook (Mobile App)",825.04
2350,"Netflix (Mobile App)",728.41
198,"Netflix (Mobile App)",1.83
1498,"Snapchat (Mobile App)",331.42
83,"YouTube (Mobile App)",1492.32
171,"Google Play (Mobile App)",51.68
624,"Netflix (Mobile App)",1.73
55,"Facebook Messenger (Mobile App)",1.02
368,"Instagram (Mobile App)",0.12
1647,"Yahoo Mail (Mobile App)",44.85
286,"Amazon Mobile (Mobile App)",0.22
1107,"Facebook (Mobile App)",701.56
2064,"Yahoo Mail (Mobile App)",333.58
606,"Netflix (Mobile App)",2866.23
2286,"Microsoft Word (Mobile App)",3.62
2442,"Facebook Messenger (Mobile App)",311.25
2533,"Google Search (Mobile App)",175.91
122,"Facebook (Mobile App)",447.54
2503,"Instagram (Mobile App)",33.37
2238,"Facebook (Mobile App)",2159.02
1597,"Amazon Mobile (Mobile App)",8.79
1546,"Facebook (Mobile App)",1090.84
442,"GroupMe (Mobile App)",93.55
1782,"Google Search (Mobile App)",62.50
